,id,name,space,host_name,host_since,host_acceptance_rate,host_identity_verified,street,zipcode,latitude,longitude,review_scores_rating,room_type,accommodates,price
10,295496,The Fern Street Apt near Biltmore,"Welcome to ""Fern Street on the Green,"" a well kept apartment in a quiet neighborhood in Asheville, NC near the Biltmore Estate. The charming apartment has its own entrance and is on the back lower ground level of a larger home – facing onto a large private greenway-wonderful for bird watching. There is a quiet tenant on the upper level. (Please note that there is an exterior stairway from the parking area to the apartment - well lit with handrail.) Fernie is a monthly rental. See calendar. The 500 sq foot Fern Street Apartment is located: 1 mile from Biltmore entrance on a quiet street 2 miles from the Blue Ridge Parkway 3 miles to downtown Asheville 15 minutes from the Asheville airport And within an easy drive of Warren Wilson College and Black Mountain  There is easy access to Interstate 40 and I-26.  Local bus service is only 2 blocks away. We're only 1/4 mile from Biltmore Forest, a lovely community of stately homes, and lofty trees. Wonderful for walking! You may see a deer! Feat",Debbie,2011-12-13,0%,t,"Asheville, NC, United States",28803.0,35.55537,-82.53539,93.0,Entire home/apt,2,$50.00
11,304379,Refocus Cottage - paradise,"REFOCUS COTTAGE is a sophisticated OPEN STUDIO- STYLE SPACE, uncluttered in its decor. It is in such a serene country setting you may not want to leave the FOUR ACRE property with creek, meadow, woods and fire pit, pavilion, horse shoes, badminton, boccie ball, bean bag toss, sky chair and hammocks.  Its SPECTACULAR DECKING overlooking the meadow and woods makes it the loveliest of escapes for recharging, decompressing, writing, painting, photographing... When you do venture out, you will find that you are LESS THAN FIVE MINUTES TO DOWNTOWN Asheville and pretty much everywhere else you might want to go. Return home to star-filled skies that your cathedral windows and skylight won't let you forget in this chic, bright, open studio style cottage. The queen size bed is comfortable with a heated mattress cover.  There is a pull-out chair bed for extra guests and a VERY COMFORTABLE new queen-size futon sofa.  Off the decking ABOVE is a private 2nd BR with a sofa platform bed for one (mattre",Gayle,2012-01-04,100%,t,"Asheville, NC, United States",28804.0,35.644529999999996,-82.52586,98.0,Entire home/apt,4,$289.00
12,427497,Luxurious Mountain Guest Suite Apartment,"Private Guest Suite Features: King Size four poster bed, Gas Fireplace, Fully Equipped Gourmet Kitchen (Coffee, Tea, Stove, Oven, Microwave, Blender, Spices, Toaster Oven, Full Size Fridge, Dishwasher, etc.) Breakfast Nook for 2, Private Bathroom with Tiled Tub with plenty of towels, shampoo, conditioner, shower gel, etc. We do have Laundry available in the main house if needed, (but it is not in the apartment). LOCATION!!!  Staying at Keswick Hills, a private gated community in south Asheville, is for anyone interested in exploring Asheville while being only  9 miles from Downtown Asheville and close to nearby amenities in a quiet setting. We also provide a list of recommendations and have available local tourist literature and real estate relocation information. Search Keswick Hills online and click on Local Guide to learn more about various AVL resources for restaurants, hiking, biking, and other major tourist attractions in Downtown Asheville and the surrounding area.  Thank you fo",Milan,2012-03-12,100%,f,"Asheville, NC, United States",28803.0,35.49111,-82.48438,99.0,Entire home/apt,2,$125.00
13,436476,Garden View Apt- Walk Downtown,"Our place is bright, cheery and filled with charm! It’s the perfect launch pad for your Asheville adventures. Restaurants, bars, theaters, galleries, outdoor concerts and so much more are all within walking distance.  You can't beat this spot!  We are located on a quiet street in historic neighborhood, just 10 minutes walking distance to downtown.  There’s also a greenway at the end of our street.  We are also only a few blocks from Whole Foods, Trader Joe's and Harris Teeter.  This is a fantastic, historic neighborhood adjacent to downtown. It is also the safest neighborhood that is next to downtown.  Stroll past historic B&B's, down tree-lined streets, as you make your way home after a delicious meal at one of Asheville's many great restaurants.  It would be hard to find a more convenient location than this! Our apartment is recently renovated and tastefully furnished.  Old world charm meets modern lofty feel is one of the descriptions I have heard before. Mid century modern meets gl",Heidi,2011-04-02,100%,f,"Asheville, NC, United States",28801.0,35.601820000000004,-82.56174,98.0,Entire home/apt,2,$96.00
14,483384,"Romantic, Moroccan-Influenced Cottage","*Permitted homestay* (Phone number hidden by Airbnb) Your own cottage ( no shared space other than patio- with me) in the heart of East West Asheville. River Arts district is 5 minutes away by car. Unique two-story cottage built by owner. It looks and feels like a house you may find in Morocco or Majorca . It's only four years old , but built to look like an old villa. Heating and air conditioning on both levels, ceiling fan above bed. 100 % cotton bedding and throws are throughout the house. All natural cleaning products, shampoo, and soaps.Previously named The Mermaid Cottage.  5 minutes from Biltmore Estate. Walking distance to Haywood Rd.  Owl Bakery, Hole Donuts, Short Street Cakes, The Apple Orchard Cider house, Walk and my favorite for dinner, 5 star restaurant The Admiral or delicious gluten free eclectic- Bim Beri Bon are walking distance or a 3 minute drive.  Whist is a very cool paper goods and many cute things store on Haywood a few blocks from the house.  Two cats, Rue (gr",Camille,2011-03-27,100%,t,"Asheville, NC, United States",28806.0,35.56118,-82.57784000000001,100.0,Entire home/apt,3,$115.00
15,495111,Walk Downtown private bath peaceful,"This is a super convenient location, right on the edge of downtown's vibrant scene.  This historic home is large and comfortable with everything you need to cook or relax in a quiet environment just two blocks from downtown, Asheville Yoga center, or UNCA.  This bedroom is on the first floor and has a beautiful private full bath. There is a king size bed with a fantastic medium firm mattress, walk in closet with cabinets for your things and a desk for you to work at, if you need it.  Living/Dinning room, kitchen and a large front porch on the same floor. The house is set back from the street, surrounded by trees and it is very peaceful here...amazing that we are so close to downtown! It's a great biking and walking neighborhood too, with excellent road bike trails right out the front door! There's good breakfast, fresh juices and coffee a block away at Whole Foods Grocery, Five Points Diner or High Five Coffee, all local favorites where you can easily meet people and get a real sense o",David,2014-03-06,100%,t,"Asheville, NC, United States",28801.0,35.60371,-82.55621,98.0,Private room,2,$95.00
16,528535,Dwntwn Studio w/ lots of character,"This ~500 sq' studio apartment is located in the 5-Points neighborhood on the North edge of Downtown Asheville. It is  mostly reclaimed, locally sourced materials and has lots of unique style and character. If you are just looking for something cheaper than a standardized, corporate, hotel, this is not for you...this is a space that is full of character & life & appreciates its guest to be similar! Amenities include: - queen size bed with linens  -kitchenette for light cooking with a restored farm house double bay sink (some tea & spices supplied) -large bathroom (with cork floors and a tiled & glass block shower with bench seat).  Towels provided.  -Wifi Internet, small library (including local hikes, bike rides, rivers trips, history, etc), desk with up-to-date local attractions, a/c & heating unit  -small backyard with deck, two little ponds (peaceful sounds of moving water) and chiminea (the back deck is great for having a few friends over or just reading in a peaceful city environ",B,2012-06-10,100%,f,"Asheville, NC, United States",28801.0,35.60075,-82.5539,93.0,Entire home/apt,2,$99.00
17,539020,Comfy/quiet West Asheville getaway,"Happy to be back online after having to abruptly stop hosting two years ago (the city served us for not having a homestay license)! We are now fully licensed and looking forward to sharing our space again.  LGBTQ friendly. Hosts, 5-year-old, and dog live upstairs so you may hear our footfalls or a child playing.    Our downstairs apartment has its own private entrance and a nice view of the woods out back.  The apartment includes - A private bedroom with full-sized bed, closet - Bathroom with tub and shower - Kitchenette (two-burner stove, small sink, and mini-fridge)  - Small table and chairs for dining/coffee/work - Full-sized futon and comfy chair in the living/yoga room - Decent-sized collection of White Mountain Puzzles - Bath toys and hula hoops  We have good, reliable Wifi but no cable or television.  Coffee and tea are provided.  We live in a cohousing community and share the grounds with our neighbors. Tours of the community can be arranged ahead of time. Otherwise we ask that",Kim,2012-06-15,86%,t,"Asheville, NC, United States",28806.0,35.57318,-82.59976,96.0,Entire home/apt,4,$100.00
18,621243,The birdhouse.Sweet suite! Downtown Roof top deck!,"Walking distance to downtown.Private entrance, roof top deck, kitchenette,earthen clay plaster walls, spa style tiled bathroom and decks. Lovely space for two. Has a smart tv, AC and fan, free wireless connection. Ideal-situation to relax,explore & enjoy!",Molly,2012-07-28,100%,t,"Asheville, NC, United States",28801.0,35.60418,-82.54964,97.0,Entire home/apt,2,$132.00
19,634319,Private Asheville Cabin Apartment,"Our private log cabin home has an apartment available for your stay in beautiful Asheville.  This 2 bedroom apartment has a private entrance, fully equipped kitchen, central a/c, wood burning fireplace, wi-fi, phone, cable tv, deck, a firepit and a horseshoe court.  FYI, cell phone coverage varies per carrier so we provide a LAN line, as well, for your use.  The bedrooms are furnished with queen size beds.  Come enjoy the peace and quiet in the woods but also the convenience of only being 15 minutes or less away from the Blue Ridge Parkway, the Biltmore Estate, Warren Wilson College,  the historic Grove Park Inn, antique shops and art galleries and everything else that Asheville has to offer.  For the more adventurous, try hiking, kayaking or zip lining.  Small mountain towns overflowing with charm are just a short drive.  Crafts and artist galleries are in abundance.  The eating is great, and it isn't just the southern cuisine.  Vegetarians and carnivores will both be happy in this to",Jim And Jan,2011-09-24,100%,f,"Asheville, NC, United States",28805.0,35.62839,-82.47989,99.0,Entire home/apt,4,$150.00
20,660702,Private Home 1 mile to downtown,"Furnished downstairs of a beautiful home in a nice neighborhood ONLY 1.5 mi. from downtown!  In 2 minutes you can walk to one of the best breweries which is also a great restaurant, movie theater along with a seperate kids game room- The Asheville Pizza and Brewing Co.  In 5 minutes you can walk to sushi, burritos, ice-cream, coffee, tea and fresh organic food along with a variety of other shops. The apartment is a spacious 1000 sq. ft ground level flat equipped with everything for your comfortable stay.  Included: kitchen, full bath (shower no tub), 1 bedroom, and a living room with great afternoon sun!  Your private drive easily holds two vehicles in our safe and historic north Asheville neighborhood. Please note: this is a basement level apartment and thus does not have natural light in all the rooms.  The living room receives excellent afternoon light and sun.  The bedroom and kitchen does not; on the plus side- the bedroom is great for a quiet night's rest. This is a very nice apa",Brady,2012-08-21,100%,t,"Asheville, NC, United States",28804.0,35.62166,-82.55373,94.0,Entire home/apt,4,$75.00
21,674894,Lovely mountain home with a view!,"Nice room with private bath. Has full size bed with a comfortable Serta mattress. Linens and towels provided. You will have access to entire house. Secluded yet close to downtown. Located halfway between downtown and the parkway in beautiful Haw Creek valley. Retreat like setting on 3 beautiful acres with stream. Relax on the front porch or back patio and watch the animals. Wifi but no TV. Very quiet and relaxing. Fragrance free and smoke free. Comfortable, clean and affordable.  Please note that there are two other rooms for rent as well if you have more than two people.  Also even though I have no pets, I dog sit occasionally. So if you prefer no pets, please check with me first. It's about a 10 minute drive to downtown so you will need a car. Would be happy to answer any questions you might have about the home or area.",Linda,2011-05-22,85%,t,"Asheville, NC, United States",28805.0,35.62272,-82.50285,92.0,Private room,2,$49.00
22,695196,"Private, Downtown & River Arts","Simple, clean and comfy w/ queen-sized bed, private bath, good shower, fridge, microwave, coffee-maker,  & wireless internet.  Breakfast is on your own, but why eat in your room when Foodtopia awaits you?   We are LGBTQ and straight friendly.  People of Color and white people are welcome.   Our home is an urban micro-farm & food forest in the making and a land partner in Patchwork Urban Farms.  (We’ve prioritizes cultivating pollinator habitat and building soil over manicuring a lawn). We are an easy walk or bike to the River Arts District (less than 1/2 mile) and Downtown (1/2 mile to Southslope, then another few blocks to Pritchard Park).  It's downhill all the way home from downtown :)  You can bike to West Asheville (less than 2 miles) or UNCA (about 3 miles). We're also really close to Biltmore Village and the entrance to the Biltmore Estate (less than 2 miles).  Pet friendly for dogs with well-behaved humans (**see notes below re: dogs).  Dogs count as an EXTRA guest.  (So if the",Michelle,2012-09-12,100%,t,"Asheville, NC, United States",28801.0,35.581309999999995,-82.55741,93.0,Private room,2,$49.00
23,720609,City Vibe Loft,"Check my other listings. I have other properties on the same street, and can accommodate large parties.    Cleaning fee included in the rate. Cleaned with all natural, environmentally friendly products.  One parking space provided at your door. LGBT and straight friendly. complimentary coffee, tea, toiletries, and more",Celeste,2011-03-07,98%,f,"Asheville, NC, United States",28801.0,35.59787,-82.55336,97.0,Entire home/apt,8,$309.00
24,723349,#2 Blue Ridge Room at Oakland Cottage B&B,"Blue Ridge Room #2 is on the first floor with a king bed, full private bath, coffee maker, cable TV, WIFI, extra sitting room and private deck, with stair access to the back yard off the deck. Pets are welcome in the Blue Ridge room for an additional $15 nightly per pet.  There is a simple pet agreement which must be accepted by the pet owner in order to bring a pet to stay with you in your room or suite at Oakland Cottage. Pricing is based on two guests.  There is room for an additional guest for $20 each extra guest per night.",Mary,2012-10-02,96%,f,"Asheville, NC, United States",28801.0,35.57468,-82.55705,88.0,Private room,2,$171.00
25,723410,Asheville Mountain Vista 3mi to Downtown Asheville,"Just 3 miles from downtown Asheville, Asheville Mountain Vista is a convenient cabin style vacation rental with 4 bedrooms and 3 baths, hot tub, outdoor charcoal grill and lovely view of the Mountains, especially in winter.  There is high definition cable TV, wireless internet, washer/dryer, full amenity kitchen, decks, outdoor fireplace, off street parking.   Our location can't be beat. Asheville Mountain Vista is just off scenic Town Mountain Road, 3 miles from the heart of downtown Asheville. The Blue Ridge Parkway is also conveniently accessed via Town Mountain Road at Craven's Gap (BRP MPM 377.5), just 3 miles in the other direction - by road or neighborhood trail. This lovely vacation home can accommodate up to 12 guests and has 4 bedrooms and 3 full baths. Extensive decking & outdoor patio and an outdoor hot tub extend the living area into the outdoors. Amenities include linens, towels, Cable TV, high-speed wireless Internet access, telephone with unlimited local/long distance c",Mary,2012-10-02,96%,f,"Asheville, NC, United States",28804.0,35.62894,-82.51751,100.0,Entire home/apt,12,$295.00
26,751963,Come Home in West Asheville!,"The Homey Home is a four bedroom bungalow built in 1922 perfect for family and friends to gather and share a wonderful stay in Asheville.. It is spacious with a living room with a yodel wood stove, a breakfast nook, a tiny balcony to peruse the newly andscaped back yard!! Their are also great places to stretch out and do yoga or meditation The house fully furnished with four bedrooms and two baths, with a great kitchen that has granite countertops and custom artist crafted cabinets.  The space welcomes you and gives you a hug when you walk in. :)",Lauralee,2012-10-19,0%,t,"Asheville, NC, United States",28806.0,35.57805,-82.58341999999999,97.0,Entire home/apt,5,$99.00
27,840696,❤VIEWS! Luxury home near DOWNTOWN close 2 Biltmore,"New Tankless/On Demand Hot Water Heater,  Plenty of Off-Street Parking, Central A/C and Heat, Wireless Internet and Cable TV. Watch the sunset over the mountains on our, very private, extra large - 26' x 12' - covered deck.   The master bedroom has a flat screen TV and DVD player, a Brand New queen-size mattress with 3"" gel memory-foam topper, and empty walk-in closet. The panoramic mirror is angled to see the mountain views while your head rests on the pillows. This bedroom has an en-suite bathroom with soaking tub and Kohler shower tiles. The bathroom has it's own long range views. Offering privacy, the 2nd bedroom is on the opposite side of the house from the master bedroom. This guest room features  a real comfortable queen size Tempur-Pedic mattress. The 2nd bathroom is right next to this bedroom. The 3rd bedroom is a TV room/office with large flat screen TV and Blue Ray DVD player. It has a comfortable couch that, with the cushions removed, makes a good single bed. The entire hom",Michael,2012-12-12,99%,t,"Asheville, NC, United States",28801.0,35.58395,-82.56161,100.0,Entire home/apt,4,$224.00
28,846221,Town and Mountain Peaceful Retreat,"Welcome to our peaceful retreat tucked under the Blue Ridge Parkway! Our location offers the best of both worlds! With convenient access to the mountains and the town. We are located approximately 5.5 miles from the center of downtown Asheville (the review with a response saying 8 miles is wrong, but Airbnb will not let me change it), with it's quaint restaurants and coffee shops. And a country mountain road drive up to the Blue Ridge Parkway with inviting trails and spectacular views of the Blue Ridge and Great Smokey Mountains. The Biltmore Estate and Winery is very close by and a great way to spend the day. Also, Beaver Lake is right at your doorstep with a great walking path. Pisgah National Forest and the Great Smokey Mountain National Forest are both nearby with lots of outdoor recreation and adventure activities. Outside makes this home a great mountain vacation setting with the small stream that runs through the property and under the driveway. A forest of trees to your left as",Bart,2012-12-16,91%,f,"Asheville, NC, United States",28804.0,35.64271,-82.51219,94.0,Entire home/apt,6,$137.00
29,874008,"Sunset Cottage - year round views, 3 mi to DT AVL","Sunset Cottage faces west, so enjoy sunsets from the many windowed kitchen/dining and large back deck.  The two bedrooms and full bath are a nice size for two couples to share or for families wanting their own space. Each bedroom has a Queen bed and twin bed for a capacity of 6 guests. All linens are provided, Cable TV, wireless Internet. Washer/dryer, full amenity kitchen, back deck with grill (garage is not available to guests).  Cell phone service works well for most, if not all providers. For your arrival, enough paper supplies are provided to get you started, as well as trash bags, minor cleaning supplies, such as dish liquid, dishwasher liquid & clothes washing detergent. The Dining area opens to the kitchen with double French doors that lead to the spacious deck & wonderful year-round westerly views - great home to take in the out of doors!  Just minutes to Downtown Asheville and the Blue Ridge Parkway National Park.",Mary,2012-10-02,96%,f,"Asheville, NC, United States",28804.0,35.63012,-82.5183,97.0,Entire home/apt,6,$175.00
30,875735,Asheville artist  bungalow. 3 minutes to downtown,"The private room has a queen bed and an extra futon mattress if needed. There is also a rocking chair and desk.   Your private bathroom has the essential amenities as well as a shower and bath.  The open space in the house features a wood burning stove, lots of plant life, sitting area and a dining table.  The kitchen is open for you to use. We usually cook our meals at home and you are welcome to join us if you are interested. The patio and yard are great features on the house. The patio has soft lighting for the evenings and a BBQ to use. We have a large yard where you can find an organic garden, sculptures, a hammock and sometimes even a pingpong table.  We welcome you into our home and hope you find the space inviting and comfortable.",Jason,2013-01-08,70%,t,"Asheville, NC, United States",28805.0,35.58617,-82.50657,92.0,Private room,2,$65.00
31,881707,West A'ville sanctuary in the trees,"Corona virus COVID-19 note: rest assured our studio apartment is thoroughly disinfected and all items are re-washed and dried w/ high heat in between each reservation. A peaceful retreat awaits you in the trees just outside of West Asheville's ""locals"" downtown! Walkable to Haywood Rd and all our excellent neighborhood restaurants, art and yoga studios, farmers market and pubs. Note: Our house is in a dense suburban residential neighborhood and not outside of town. We have neighbors on all sides but we are lucky that our house is in an urban forest that affords privacy.  The studio apartment is below the main house which has its own entrance and outdoor space. Our family lives above and we are very respectful of your privacy. The studio is SMALL one room space (12x15) but well equipped with a hot plate, under counter fridge, small table and 2 chairs and a queen size bed. You have your own small bathroom with 3x3 shower and toilet. Bathroom sink is in kitchenette. A laundry room is righ",Jakub & Maria,2013-01-11,93%,t,"Asheville, NC, United States",28806.0,35.56893,-82.59475,97.0,Entire home/apt,2,$95.00
32,942934,"""ZenShe"" Private Guest Quarters and Entrance","You will be staying in peaceful, quiet, light filled  private 1 Bedroom Master Suite with QUEEN size bed, large spa like Bath, with a totally private entrance and hallway in the hub of West Asheville.  We have also provided you with an off the street private driveway to park your car which is located a few feet from the gate entrance to ZenShe. We are a totally LEGAL AirBnB, so you can book with confidence!   PLEASE read our reviews for further confirmation. The amenities include:  Self check in.  We have provided you with a secure lock box and a secure PIN number.  This affords you to arrive at your own convenience.  Very Comfortable, high end QUEEN size bed, a large spa like bathroom with a large soaking tub/shower, various personal sundries, hair dryer, first aid kit and an abundance of plush towels.  A comfy reading chair w/ottoman, work desk and chair affording a place to read, relax or work.  The bedroom has a triple set of west facing screened windows affording light, fresh air ",Pat,2013-02-15,99%,t,"Asheville, NC, United States",28806.0,35.57312,-82.59092,99.0,Private room,2,$62.00
33,943832,"Asheville Cottage, Walk To Town, 30 Days","A taste of Real Asheville! This Arts and Crafts cottage is located in possibly the most popular area of Asheville, Montford.  One of the most beautiful and largest historic districts in the state of North Carolina,  filled with beautiful landscaping and structures, many of which were built between 1890 and 1925, reflecting Victorian, Tudor, Colonial Revival, Arts and Craft and Georgian architectural styles.   My home is 2000sq ft and provides lots of privacy. Decorated with many beautiful antiques and works of local artist, has hardwood floors and rugs and is filled with lots of beautiful natural light. The large den is very comfortable; with a comfy leather sofa, recliners and rocking chairs all surrounding the wood burning fireplace and 46' smart T.V. including Netflix. The bookcase is loaded with interesting reads of all types, including local history and a few board games. There is Wi-Fi , extended cable TV and a speaker system to connect your music to.  It has two extra large bedr",Terri,2013-02-16,94%,t,"Asheville, NC, United States",,35.6117,-82.57668000000001,93.0,Entire home/apt,6,$250.00
34,971003,Montford Home 1.5 mi to DownTown,"Wonderful Montford Hills Home  Great Neighborhood/Downtown Location for when You want to be right in town with EZ access. Asheville is known for its scenic beauty, abundance of opportunities to enjoy the outdoors, fantastic restaurants supplied with locally grown food, craft beer and eclectic sights and sounds. Great boutique shopping and local music and art offer plenty to do if you prefer to stay in town. We are also friendly in the best of the tradition of Southern hospitality. Spacious 2 bedroom with comfy Queen size beds on main level of my home in the Beautiful Historic Montford Neighborhood (3rd BR upstairs will NOT be available for your use) LARGE screen smart TV in Living Room with roku for Netflix (or use your own accounts with wifi) NO cable Fully equipped kitchen. Hardwood floors throughout Tiled Bath & Kitchen Living room has a gas log fireplace Multiple Outdoor Seating Areas Beautiful Gardens including Veggie Garden (in season) in a private back yard. A very Walkable, Bik",Tammy,2013-03-03,100%,t,"Asheville, NC, United States",28801.0,35.605,-82.57262,98.0,Entire home/apt,4,$145.00
